date,ticket_type,severity,status,description,reported_by
2023-07-21,Hardware Failure,Medium,Open,VPN Access reported by user.,employee02
2022-06-20,Email Problem,Low,In Progress,Password Reset reported by user.,security_team
2022-05-09,Security Alert,Critical,Closed,Network Issue reported by user.,employee01
2023-01-08,VPN Access,Critical,Open,Network Issue reported by user.,admin
2022-11-29,Software Install,Medium,Closed,Hardware Failure reported by user.,security_team
2024-05-04,Network Issue,Low,Closed,Security Alert reported by user.,employee02
2023-01-13,Network Issue,Medium,Resolved,Software Install reported by user.,it_support
2022-10-23,Password Reset,Medium,Resolved,Software Install reported by user.,security_team
2023-06-08,Software Install,Critical,Open,Hardware Failure reported by user.,system
2022-06-15,Software Install,Low,In Progress,VPN Access reported by user.,it_support
2023-01-08,Email Problem,Low,Closed,Security Alert reported by user.,it_support
2022-09-27,Password Reset,High,In Progress,VPN Access reported by user.,employee01
2022-09-09,Hardware Failure,Critical,Open,System Outage reported by user.,security_team
2023-02-10,Software Install,High,Closed,Network Issue reported by user.,admin
2023-12-25,System Outage,High,Open,VPN Access reported by user.,system
2022-09-14,Software Install,Medium,Resolved,Email Problem reported by user.,security_team
2022-11-26,Network Issue,Low,Resolved,Hardware Failure reported by user.,security_team
2023-07-11,Email Problem,Critical,Resolved,Security Alert reported by user.,admin
2023-11-01,Email Problem,High,Resolved,Network Issue reported by user.,security_team
2022-05-12,Password Reset,High,Open,Password Reset reported by user.,employee02
2022-04-12,Software Install,High,Open,Network Issue reported by user.,employee01
2023-03-15,Hardware Failure,High,Resolved,System Outage reported by user.,employee01
2022-05-24,System Outage,Critical,Open,Email Problem reported by user.,employee01
2024-04-22,Email Problem,Low,In Progress,Email Problem reported by user.,employee02
2022-01-13,Software Install,Medium,Closed,Software Install reported by user.,it_support
2024-03-26,Software Install,High,Closed,System Outage reported by user.,employee02
2024-04-10,Hardware Failure,Low,Closed,Email Problem reported by user.,security_team
2022-10-10,VPN Access,Medium,In Progress,Password Reset reported by user.,security_team
2023-05-11,Software Install,Low,Open,Password Reset reported by user.,employee02
2022-04-01,Security Alert,High,Closed,Software Install reported by user.,admin
2024-03-21,Software Install,Medium,In Progress,System Outage reported by user.,employee02
2024-05-28,Email Problem,Critical,Resolved,Password Reset reported by user.,it_support
2022-07-16,Security Alert,Critical,Closed,VPN Access reported by user.,security_team
2024-02-28,Software Install,Low,Open,System Outage reported by user.,employee02
2022-11-12,Security Alert,Critical,Open,System Outage reported by user.,it_support
2022-04-11,Password Reset,High,Open,Hardware Failure reported by user.,system
2023-04-04,Email Problem,Critical,Open,Hardware Failure reported by user.,admin
2022-11-28,Security Alert,Critical,Resolved,Hardware Failure reported by user.,employee01
2022-09-19,Hardware Failure,High,Resolved,Password Reset reported by user.,admin
2023-06-27,VPN Access,High,Closed,VPN Access reported by user.,admin
2023-04-30,Security Alert,Medium,Open,Network Issue reported by user.,security_team
2023-06-10,Network Issue,Medium,In Progress,Security Alert reported by user.,employee02
2022-01-29,Email Problem,Low,Open,Hardware Failure reported by user.,employee01
2022-09-27,VPN Access,Low,Closed,Security Alert reported by user.,employee02
2023-04-21,System Outage,Low,In Progress,Email Problem reported by user.,it_support
2024-05-21,Hardware Failure,Medium,Open,Hardware Failure reported by user.,it_support
2024-01-21,Security Alert,Critical,Resolved,Security Alert reported by user.,admin
2024-04-07,Security Alert,Medium,Closed,VPN Access reported by user.,system
2024-06-01,VPN Access,Low,In Progress,Software Install reported by user.,employee01
2022-05-22,VPN Access,Low,Open,System Outage reported by user.,admin
2022-12-28,Email Problem,Critical,Closed,Email Problem reported by user.,security_team
2023-04-26,Security Alert,Medium,Open,Hardware Failure reported by user.,admin
2023-06-14,System Outage,High,Closed,VPN Access reported by user.,it_support
2022-05-25,Security Alert,Medium,Resolved,Software Install reported by user.,employee01
2023-12-11,System Outage,Medium,Resolved,System Outage reported by user.,employee01
2023-12-29,Email Problem,Critical,Closed,Network Issue reported by user.,admin
2023-09-07,System Outage,Critical,Resolved,Software Install reported by user.,it_support
2023-10-18,Security Alert,Medium,Closed,Security Alert reported by user.,employee02
2023-09-22,Security Alert,Critical,Closed,Software Install reported by user.,employee01
2022-06-05,Email Problem,Low,In Progress,Hardware Failure reported by user.,security_team
2022-05-24,Email Problem,Critical,Open,Network Issue reported by user.,admin
2022-06-29,Email Problem,Critical,In Progress,Password Reset reported by user.,it_support
2023-10-31,Network Issue,Critical,Open,Password Reset reported by user.,employee02
2022-07-17,Software Install,Low,Closed,Network Issue reported by user.,it_support
2023-07-08,Password Reset,High,Resolved,System Outage reported by user.,employee02
2023-05-30,Security Alert,High,Closed,VPN Access reported by user.,admin
2022-03-17,Email Problem,Low,Closed,Email Problem reported by user.,admin
2023-09-10,Password Reset,Critical,Resolved,Security Alert reported by user.,admin
2023-11-16,Hardware Failure,High,Closed,Password Reset reported by user.,security_team
2023-10-20,Security Alert,Medium,Closed,Security Alert reported by user.,system
2024-04-02,Network Issue,Medium,Resolved,Password Reset reported by user.,system
2023-08-13,Hardware Failure,Medium,Open,Software Install reported by user.,it_support
2023-04-20,Network Issue,Medium,In Progress,Password Reset reported by user.,security_team
2023-02-03,Hardware Failure,Medium,In Progress,Security Alert reported by user.,security_team
2023-03-27,VPN Access,High,In Progress,System Outage reported by user.,it_support
2023-06-27,System Outage,Medium,In Progress,System Outage reported by user.,system
2023-08-16,VPN Access,Critical,Resolved,Security Alert reported by user.,employee02
2023-11-13,Email Problem,Medium,Closed,System Outage reported by user.,employee02
2024-06-06,Software Install,Low,Open,Email Problem reported by user.,it_support
2022-12-29,System Outage,Critical,Resolved,Network Issue reported by user.,it_support
2023-07-09,System Outage,High,Open,Security Alert reported by user.,system
2022-06-23,System Outage,High,In Progress,Software Install reported by user.,admin
2023-03-04,System Outage,High,Open,VPN Access reported by user.,security_team
2024-02-08,System Outage,Low,Open,System Outage reported by user.,admin
2022-02-02,System Outage,High,In Progress,Password Reset reported by user.,admin
2023-07-03,VPN Access,Low,Open,System Outage reported by user.,admin
2023-07-11,System Outage,Medium,In Progress,Hardware Failure reported by user.,employee02
2022-11-11,Security Alert,Low,Open,Email Problem reported by user.,employee01
2022-05-08,Network Issue,High,Closed,Hardware Failure reported by user.,security_team
2024-06-08,Software Install,Critical,Resolved,Security Alert reported by user.,employee01
2023-04-25,Email Problem,Medium,In Progress,Email Problem reported by user.,employee02
2023-04-07,VPN Access,Medium,Closed,System Outage reported by user.,admin
2024-01-15,Software Install,High,Resolved,VPN Access reported by user.,admin
2024-03-07,Password Reset,High,In Progress,Network Issue reported by user.,security_team
2022-09-10,Hardware Failure,Low,Open,VPN Access reported by user.,employee02
2022-09-15,Password Reset,High,Resolved,VPN Access reported by user.,employee01
2024-02-05,Password Reset,Low,Resolved,Password Reset reported by user.,employee02
2023-07-28,Software Install,Medium,Closed,Password Reset reported by user.,admin
2022-07-01,Hardware Failure,Critical,Resolved,Security Alert reported by user.,system
2022-04-05,Hardware Failure,Critical,Resolved,VPN Access reported by user.,it_support
2022-11-26,Software Install,High,Open,Email Problem reported by user.,admin
2023-07-08,Software Install,High,In Progress,Software Install reported by user.,employee02
2022-02-14,Email Problem,High,In Progress,Email Problem reported by user.,admin
2023-12-30,Hardware Failure,Medium,In Progress,Hardware Failure reported by user.,it_support
2023-02-04,Network Issue,Medium,In Progress,Network Issue reported by user.,employee01
2022-12-19,Hardware Failure,High,In Progress,Email Problem reported by user.,employee01
2024-01-28,Hardware Failure,High,Closed,Security Alert reported by user.,employee01
2022-11-11,System Outage,Critical,Resolved,Hardware Failure reported by user.,system
2022-03-09,Hardware Failure,High,Closed,Security Alert reported by user.,employee01
2022-07-01,Software Install,Medium,Closed,VPN Access reported by user.,security_team
2023-07-11,VPN Access,Critical,Open,Hardware Failure reported by user.,admin
2023-11-29,Security Alert,High,Resolved,Network Issue reported by user.,security_team
2022-06-28,Network Issue,High,Open,Password Reset reported by user.,system
2022-09-25,System Outage,Medium,Open,Hardware Failure reported by user.,employee02
2023-05-12,System Outage,Medium,Open,Hardware Failure reported by user.,system
2023-11-17,Password Reset,High,Closed,VPN Access reported by user.,it_support
2023-11-09,System Outage,High,Resolved,Hardware Failure reported by user.,employee02
2023-07-25,Network Issue,Low,Closed,Network Issue reported by user.,employee01
2024-05-20,System Outage,Critical,Resolved,Hardware Failure reported by user.,it_support
2023-07-04,Email Problem,Critical,In Progress,System Outage reported by user.,security_team
2022-09-15,System Outage,Low,In Progress,Password Reset reported by user.,employee01
2023-03-25,Security Alert,Critical,Closed,Network Issue reported by user.,admin
2022-01-17,System Outage,High,Resolved,Password Reset reported by user.,system
2022-03-21,Hardware Failure,High,Closed,Network Issue reported by user.,admin
2022-08-24,Network Issue,Medium,Closed,Password Reset reported by user.,admin
2023-03-01,VPN Access,High,Resolved,Security Alert reported by user.,security_team
2024-02-17,VPN Access,Critical,Resolved,Hardware Failure reported by user.,security_team
2022-01-22,Security Alert,Critical,In Progress,VPN Access reported by user.,system
2022-01-20,VPN Access,Critical,Open,Hardware Failure reported by user.,employee01
2022-04-23,System Outage,Medium,Open,Network Issue reported by user.,system
2023-08-12,System Outage,High,Open,Email Problem reported by user.,system
2023-04-20,Network Issue,Medium,In Progress,Password Reset reported by user.,employee01
2022-08-03,Network Issue,Medium,Resolved,System Outage reported by user.,system
2022-12-19,Email Problem,High,In Progress,System Outage reported by user.,security_team
2024-05-23,Network Issue,Critical,In Progress,Email Problem reported by user.,it_support
2023-07-11,VPN Access,Critical,Resolved,Password Reset reported by user.,system
2023-07-16,Security Alert,Low,In Progress,System Outage reported by user.,system
2023-05-31,Network Issue,Medium,Closed,Hardware Failure reported by user.,admin
2023-12-20,Email Problem,High,Open,Network Issue reported by user.,employee01
2023-07-18,Password Reset,Medium,In Progress,Network Issue reported by user.,employee01
2023-05-02,Email Problem,Low,In Progress,Security Alert reported by user.,it_support
2022-12-23,Network Issue,Medium,Closed,Email Problem reported by user.,it_support
2023-05-29,Hardware Failure,Low,Resolved,Hardware Failure reported by user.,admin
2022-04-19,Email Problem,Medium,Open,Hardware Failure reported by user.,system
2024-04-27,Email Problem,Medium,In Progress,Security Alert reported by user.,admin
2023-01-31,Software Install,Critical,Closed,Password Reset reported by user.,employee02
2023-01-26,VPN Access,Critical,Closed,Security Alert reported by user.,admin
2023-11-21,Email Problem,Critical,Resolved,Password Reset reported by user.,admin
2023-06-15,Network Issue,Medium,Resolved,Security Alert reported by user.,employee02
2022-02-16,Password Reset,Low,Resolved,Password Reset reported by user.,security_team
2024-04-16,Email Problem,Critical,In Progress,Hardware Failure reported by user.,security_team
2024-02-08,Software Install,High,In Progress,System Outage reported by user.,admin
2022-07-20,VPN Access,Low,Resolved,Email Problem reported by user.,system
2023-12-19,Password Reset,Low,Closed,VPN Access reported by user.,employee01
2022-12-28,Email Problem,Critical,Resolved,Email Problem reported by user.,employee02
2024-03-05,Security Alert,Critical,Resolved,Security Alert reported by user.,security_team
2022-12-27,Password Reset,Medium,Resolved,VPN Access reported by user.,employee02
2023-03-06,Hardware Failure,Medium,Closed,Software Install reported by user.,employee02
2024-02-12,Email Problem,Critical,Open,VPN Access reported by user.,employee02
2022-06-14,Hardware Failure,High,Closed,System Outage reported by user.,system
2024-06-08,Network Issue,High,In Progress,VPN Access reported by user.,system
2023-06-27,Software Install,Critical,In Progress,Security Alert reported by user.,employee01
2023-05-27,VPN Access,High,Open,Email Problem reported by user.,employee01
2023-10-15,System Outage,Low,In Progress,Email Problem reported by user.,admin
2022-12-31,System Outage,Low,Open,Hardware Failure reported by user.,system
2022-06-08,Network Issue,Medium,Closed,Software Install reported by user.,system
2022-09-20,System Outage,High,Open,Hardware Failure reported by user.,admin
2023-09-13,VPN Access,Low,Resolved,Hardware Failure reported by user.,employee02
2022-04-29,System Outage,Critical,Closed,Security Alert reported by user.,system
2024-05-21,Network Issue,Critical,Open,Email Problem reported by user.,employee02
2022-04-21,System Outage,Medium,Resolved,Hardware Failure reported by user.,admin
2023-12-29,Security Alert,High,Open,Security Alert reported by user.,system
2022-02-03,Network Issue,High,Open,Security Alert reported by user.,employee01
2024-03-05,Password Reset,Low,Open,Hardware Failure reported by user.,employee01
2023-10-21,Hardware Failure,Critical,Closed,Security Alert reported by user.,employee01
2023-10-03,VPN Access,Low,Closed,System Outage reported by user.,it_support
2023-08-06,Security Alert,Low,Resolved,System Outage reported by user.,security_team
2024-04-06,Security Alert,Critical,Closed,Password Reset reported by user.,employee02
2023-07-25,Password Reset,High,Open,Software Install reported by user.,employee02
2023-05-07,Hardware Failure,Low,Closed,Email Problem reported by user.,employee02
2023-07-10,Security Alert,Medium,In Progress,Network Issue reported by user.,security_team
2022-02-07,Network Issue,Critical,Closed,Password Reset reported by user.,system
2023-12-06,Password Reset,Medium,Open,System Outage reported by user.,it_support
2022-06-21,Network Issue,Critical,Closed,Security Alert reported by user.,admin
2024-03-20,Email Problem,Critical,Open,Hardware Failure reported by user.,employee02
2023-05-20,Email Problem,Critical,Open,System Outage reported by user.,security_team
2022-08-04,Network Issue,Critical,Open,Password Reset reported by user.,it_support
2024-01-13,Password Reset,Critical,Open,VPN Access reported by user.,employee01
2023-01-28,Security Alert,Low,Open,Software Install reported by user.,security_team
2022-03-15,System Outage,Low,Closed,Network Issue reported by user.,it_support
2023-02-06,System Outage,High,In Progress,Email Problem reported by user.,admin
2023-03-24,Network Issue,High,In Progress,Security Alert reported by user.,employee01
2022-05-10,VPN Access,Critical,Open,Software Install reported by user.,it_support
2022-03-03,System Outage,High,Resolved,Email Problem reported by user.,admin
2024-02-12,VPN Access,Critical,In Progress,Software Install reported by user.,system
2024-05-19,Password Reset,Low,Open,Password Reset reported by user.,system
2023-08-31,Software Install,Low,Resolved,Network Issue reported by user.,system
2024-05-14,Email Problem,Low,Resolved,Hardware Failure reported by user.,security_team
2023-02-07,Email Problem,Medium,In Progress,VPN Access reported by user.,employee02
2023-09-11,Hardware Failure,High,Open,Software Install reported by user.,it_support
2023-07-11,Password Reset,Low,In Progress,Hardware Failure reported by user.,security_team
2023-11-04,Hardware Failure,Medium,Closed,Security Alert reported by user.,employee02
2023-07-01,System Outage,High,In Progress,Email Problem reported by user.,employee01
2023-10-30,Security Alert,Critical,Open,Software Install reported by user.,employee02
2023-06-16,Email Problem,Low,Closed,Password Reset reported by user.,admin
2022-12-17,Hardware Failure,High,Closed,VPN Access reported by user.,employee01
2023-09-16,System Outage,Low,Resolved,Software Install reported by user.,security_team
2022-09-07,Security Alert,Medium,In Progress,Hardware Failure reported by user.,system
2022-01-18,System Outage,Low,Closed,Software Install reported by user.,system
2022-03-13,Password Reset,Low,Open,Hardware Failure reported by user.,security_team
2022-01-11,Network Issue,High,In Progress,Email Problem reported by user.,system
2023-02-21,Software Install,Medium,Open,Hardware Failure reported by user.,employee02
2022-10-13,Security Alert,Critical,Open,Security Alert reported by user.,admin
2024-05-23,Software Install,High,Resolved,Security Alert reported by user.,it_support
2024-04-26,Network Issue,Critical,Resolved,Hardware Failure reported by user.,system
2022-04-08,System Outage,High,Resolved,Security Alert reported by user.,system
2023-12-09,System Outage,High,Closed,Hardware Failure reported by user.,it_support
2024-04-26,Security Alert,High,In Progress,Hardware Failure reported by user.,system
2023-08-31,Password Reset,Critical,Open,Network Issue reported by user.,admin
2022-10-28,Security Alert,High,Closed,Network Issue reported by user.,employee02
2022-09-29,System Outage,Low,In Progress,Security Alert reported by user.,it_support
2023-08-08,Password Reset,Low,Resolved,Security Alert reported by user.,system
2023-02-10,Password Reset,Low,Closed,VPN Access reported by user.,admin
2022-07-23,System Outage,Medium,Closed,Security Alert reported by user.,employee01
2023-03-22,Email Problem,High,In Progress,Hardware Failure reported by user.,security_team
2022-03-12,System Outage,Medium,Open,Software Install reported by user.,admin
2024-06-10,System Outage,Low,Closed,Email Problem reported by user.,admin
2023-04-26,Email Problem,Critical,Closed,Security Alert reported by user.,security_team
2023-11-17,Password Reset,Low,Open,Email Problem reported by user.,it_support
2023-11-30,Password Reset,Medium,In Progress,Hardware Failure reported by user.,admin
2022-01-16,Security Alert,High,Closed,Hardware Failure reported by user.,security_team
2023-08-05,Hardware Failure,High,Resolved,Hardware Failure reported by user.,employee02
2023-09-22,Security Alert,Critical,In Progress,VPN Access reported by user.,admin
2022-10-15,VPN Access,High,Closed,System Outage reported by user.,admin
2022-02-01,Email Problem,Critical,Closed,Password Reset reported by user.,employee01
2023-06-16,Security Alert,Critical,In Progress,Security Alert reported by user.,security_team
2023-03-25,Network Issue,Medium,Closed,Security Alert reported by user.,employee01
2024-03-13,Hardware Failure,Critical,In Progress,Network Issue reported by user.,employee02
2022-08-11,Email Problem,Medium,Open,System Outage reported by user.,security_team
2024-03-01,Password Reset,Critical,In Progress,System Outage reported by user.,system
2024-06-02,Email Problem,Critical,Closed,Software Install reported by user.,admin
2022-07-19,Hardware Failure,Critical,In Progress,Hardware Failure reported by user.,admin
2024-01-22,Password Reset,Low,Open,Network Issue reported by user.,admin
2022-11-13,Software Install,Low,In Progress,Security Alert reported by user.,employee02
2022-09-06,Email Problem,Medium,In Progress,System Outage reported by user.,it_support
2023-01-28,Security Alert,Low,Resolved,Network Issue reported by user.,employee02
2023-11-15,VPN Access,High,Resolved,VPN Access reported by user.,system
2023-09-19,Email Problem,High,In Progress,Security Alert reported by user.,admin
2023-10-27,VPN Access,Low,In Progress,Hardware Failure reported by user.,system
2022-04-11,Software Install,Critical,Closed,Security Alert reported by user.,employee02
2023-02-18,Email Problem,Critical,In Progress,Software Install reported by user.,system
2022-02-17,Network Issue,Critical,In Progress,Hardware Failure reported by user.,it_support
2023-04-08,Security Alert,High,Closed,Security Alert reported by user.,admin
2023-09-13,VPN Access,High,Closed,Password Reset reported by user.,employee01
2022-07-23,Password Reset,Low,Closed,VPN Access reported by user.,it_support
2024-02-23,Security Alert,Critical,In Progress,Email Problem reported by user.,system
2023-11-10,Network Issue,Low,Open,Security Alert reported by user.,system
2024-05-03,Password Reset,Critical,Resolved,Email Problem reported by user.,employee01
2022-04-23,System Outage,Low,Open,Software Install reported by user.,it_support
2024-05-27,Email Problem,High,Resolved,System Outage reported by user.,admin
2023-12-13,System Outage,Low,Open,Network Issue reported by user.,employee02
2023-06-23,System Outage,Medium,In Progress,System Outage reported by user.,employee01
2023-09-24,Security Alert,Low,In Progress,Software Install reported by user.,admin
2023-03-06,System Outage,Critical,In Progress,Security Alert reported by user.,employee02
2022-11-30,Security Alert,Medium,Closed,Email Problem reported by user.,system
2024-05-15,Password Reset,Medium,Closed,Software Install reported by user.,it_support
2023-04-11,Email Problem,High,Closed,Hardware Failure reported by user.,employee02
2022-06-09,VPN Access,High,Open,VPN Access reported by user.,employee01
2023-07-30,System Outage,Medium,Resolved,Security Alert reported by user.,it_support
2023-01-21,Software Install,Low,Open,System Outage reported by user.,admin
2023-01-07,System Outage,Critical,Closed,Password Reset reported by user.,employee01
2023-02-05,VPN Access,High,In Progress,Security Alert reported by user.,system
2022-03-25,Hardware Failure,Critical,Resolved,VPN Access reported by user.,employee02
2023-07-07,Password Reset,High,Open,Password Reset reported by user.,employee01
2022-04-19,Security Alert,High,Open,Hardware Failure reported by user.,system
2022-05-02,Email Problem,High,Closed,System Outage reported by user.,employee01
2023-11-06,Password Reset,Medium,Resolved,Password Reset reported by user.,employee01
2022-01-31,Hardware Failure,Low,Closed,System Outage reported by user.,security_team
2023-10-01,System Outage,High,Closed,VPN Access reported by user.,security_team
2022-08-29,System Outage,High,Resolved,Network Issue reported by user.,admin
2023-01-08,Password Reset,High,Resolved,Software Install reported by user.,security_team
2024-05-08,Network Issue,High,Resolved,Network Issue reported by user.,employee02
2023-11-30,Network Issue,Low,Closed,Software Install reported by user.,system
2022-11-08,Password Reset,Medium,Resolved,Security Alert reported by user.,employee01
2023-02-04,Software Install,Critical,Resolved,System Outage reported by user.,system
2022-10-19,Security Alert,High,Resolved,Software Install reported by user.,security_team
2022-11-27,Security Alert,Critical,Resolved,System Outage reported by user.,employee01
2023-03-15,VPN Access,Medium,In Progress,Network Issue reported by user.,employee01
2024-05-10,Security Alert,Critical,Closed,Email Problem reported by user.,employee02
2023-06-20,VPN Access,Medium,Open,Security Alert reported by user.,employee01
2023-07-05,System Outage,Low,Closed,System Outage reported by user.,security_team
2022-10-21,VPN Access,Critical,Closed,Email Problem reported by user.,employee02
2023-02-11,Software Install,Critical,Open,VPN Access reported by user.,system
2023-01-07,Network Issue,Low,Open,Email Problem reported by user.,it_support
2023-03-06,Security Alert,High,In Progress,Security Alert reported by user.,it_support
2022-06-30,Email Problem,Critical,In Progress,Security Alert reported by user.,employee02
2022-10-29,Password Reset,Medium,In Progress,Software Install reported by user.,it_support
2023-09-04,Email Problem,Critical,Open,Software Install reported by user.,it_support
2023-02-18,Software Install,Low,Closed,Software Install reported by user.,security_team
2023-06-07,System Outage,Medium,In Progress,Password Reset reported by user.,employee01
2023-08-04,System Outage,High,Open,Email Problem reported by user.,security_team
2022-05-10,Email Problem,Medium,In Progress,VPN Access reported by user.,system
2023-10-20,Hardware Failure,High,Closed,System Outage reported by user.,employee01
2022-07-20,Hardware Failure,Critical,Open,Hardware Failure reported by user.,system
2024-05-29,VPN Access,High,Closed,Hardware Failure reported by user.,employee02
2023-03-29,Security Alert,Low,In Progress,Email Problem reported by user.,security_team
2022-01-04,Email Problem,Critical,Closed,Security Alert reported by user.,employee01
2022-06-13,System Outage,Low,Closed,Network Issue reported by user.,security_team
2024-03-29,Password Reset,Medium,Resolved,System Outage reported by user.,employee01
2022-04-27,Software Install,Low,In Progress,Software Install reported by user.,system
2023-04-14,Network Issue,Critical,Closed,Password Reset reported by user.,employee01
2022-11-25,VPN Access,Low,Resolved,Hardware Failure reported by user.,system
2023-04-23,Software Install,Medium,Closed,System Outage reported by user.,it_support
2023-12-11,Hardware Failure,Critical,In Progress,System Outage reported by user.,employee02
2023-01-24,Hardware Failure,Critical,Closed,Software Install reported by user.,admin
2024-01-14,Network Issue,Medium,Closed,Security Alert reported by user.,employee02
2023-02-27,Email Problem,High,Open,Security Alert reported by user.,employee02
2023-05-30,Software Install,Critical,Open,VPN Access reported by user.,employee02
2022-06-22,Email Problem,High,Resolved,Hardware Failure reported by user.,employee01
2022-12-19,Hardware Failure,Critical,Resolved,Hardware Failure reported by user.,employee01
2022-04-05,System Outage,High,Resolved,System Outage reported by user.,employee01
2022-02-20,System Outage,Low,Closed,Hardware Failure reported by user.,employee01
2024-05-14,Email Problem,Medium,In Progress,Hardware Failure reported by user.,it_support
2023-06-22,Security Alert,High,Open,Password Reset reported by user.,employee01
2023-09-11,Password Reset,High,Resolved,VPN Access reported by user.,admin
2022-12-13,Email Problem,Low,In Progress,Security Alert reported by user.,security_team
2024-04-23,System Outage,Low,Resolved,Hardware Failure reported by user.,employee01
2023-05-31,VPN Access,High,Closed,System Outage reported by user.,admin
2023-08-17,System Outage,Medium,Resolved,Software Install reported by user.,employee02
2022-07-03,System Outage,Medium,Closed,System Outage reported by user.,admin
2023-04-11,Software Install,Medium,In Progress,Email Problem reported by user.,admin
2024-05-24,Software Install,Critical,Open,Security Alert reported by user.,admin
2023-03-05,Software Install,High,Resolved,Security Alert reported by user.,employee02
2022-12-11,Email Problem,Low,Closed,VPN Access reported by user.,employee01
2023-12-25,Software Install,High,In Progress,Password Reset reported by user.,it_support
2024-02-28,Hardware Failure,Medium,Closed,Hardware Failure reported by user.,admin
2022-02-05,System Outage,High,Open,Email Problem reported by user.,employee01
2023-05-12,Hardware Failure,High,Closed,Password Reset reported by user.,employee02
2023-08-31,Password Reset,Critical,Open,Security Alert reported by user.,employee01
2024-02-24,Network Issue,Medium,Closed,Security Alert reported by user.,admin
2022-05-05,Network Issue,Critical,Closed,Software Install reported by user.,employee01
2022-07-08,Security Alert,Medium,In Progress,VPN Access reported by user.,system
2022-12-17,Security Alert,Medium,Open,Password Reset reported by user.,it_support
2023-04-14,Network Issue,High,In Progress,VPN Access reported by user.,it_support
2022-10-02,Security Alert,Critical,In Progress,Password Reset reported by user.,security_team
2022-10-01,System Outage,Medium,Open,System Outage reported by user.,employee01
2022-01-10,Password Reset,High,Resolved,Security Alert reported by user.,employee01
2023-05-22,Network Issue,Critical,In Progress,Password Reset reported by user.,employee02
2024-01-06,Password Reset,Medium,Open,Security Alert reported by user.,admin
2023-07-02,Password Reset,Medium,In Progress,VPN Access reported by user.,it_support
2023-04-17,System Outage,High,Closed,Email Problem reported by user.,admin
2023-10-06,Network Issue,Medium,In Progress,Hardware Failure reported by user.,system
2023-08-08,Email Problem,Low,Closed,Email Problem reported by user.,it_support
2022-10-02,Hardware Failure,Low,Closed,Network Issue reported by user.,employee01
2022-12-05,Email Problem,High,Closed,Hardware Failure reported by user.,system
2023-12-02,Hardware Failure,High,Resolved,Hardware Failure reported by user.,it_support
2024-04-03,Hardware Failure,Critical,Resolved,Security Alert reported by user.,admin
2022-01-08,Security Alert,Medium,Open,Software Install reported by user.,it_support
2024-02-04,System Outage,High,In Progress,Network Issue reported by user.,admin
2023-10-21,System Outage,Critical,Resolved,Password Reset reported by user.,employee02
2023-09-30,Software Install,High,Resolved,Hardware Failure reported by user.,employee02
2023-02-22,Security Alert,Medium,Resolved,System Outage reported by user.,it_support
